Year,Country,Events,Kills,Wounds,distance,Flow
2000,China,4,1,0,0,0
2000,Afghanistan,14,0,0,0.999574,31.95
2000,Algeria,138,0,0,0.9966252,253.11
2000,Bahrain,0,0,0,0.997159333,213.05
2000,Bangladesh,22,0,0,0.983411067,1244.17
2000,Central African Republic,1,1,0,0.999984533,1.16
2000,Colombia,137,0,0,0.995896667,307.75
2000,Egypt,0,0,0,0.982860133,1285.49
2000,Great Britain,10,0,1,0.6728076,24539.43
2000,Greece,28,1,0,0.989035067,822.37
2000,India,179,0,0,0.916601733,6254.87
2000,Indonesia,101,146,0,0.888928133,8330.39
2000,Iraq,10,0,0,0.9865596,1008.03
2000,Ireland,0,0,0,0.970782667,2191.3
2000,Israel,15,11,119,0.957063467,3220.24
2000,Kenya,4,26,0,0.998345867,124.06
2000,Lebanon,12,12,0,0.995991733,300.62
2000,Libya,0,0,0,0.9988604,85.47
2000,Mali,0,0,0,0.999118133,66.14
2000,Mozambique,3,0,0,0.999521467,35.89
2000,Myanmar,0,0,0,0.98936,798
2000,Nepal,23,0,0,0.995544667,334.15
2000,Nigeria,7,20,0,0.991551467,633.64
2000,Pakistan,49,118,0,0.978305467,1627.09
2000,Philippines,132,0,0,0.925048,5621.4
2000,Russia,138,0,0,0.9085788,6856.59
2000,Somalia,9,36,39,0.999967867,2.41
2000,Sudan,7,0,180,0.987798133,915.14
2000,Syria,0,0,0,0.996987733,225.92
2000,Thailand,4,0,0,0.838164267,12137.68
2000,Tunisia,1,5,0,0.998438133,117.14
2000,Turkey,35,12,27,0.976779733,1741.52
2000,Yemen,10,0,0,0.989050267,821.23
2001,China,13,25,65,0,0
2001,Afghanistan,13,0,0,0.999696267,22.78
2001,Algeria,113,624,0,0.996419067,268.57
2001,Bahrain,0,0,0,0.997254133,205.94
2001,Bangladesh,15,57,0,0.981969067,1352.32
2001,Central African Republic,1,7,0,0.999953733,3.47
2001,Colombia,207,0,0,0.9925356,559.83
2001,Egypt,0,0,0,0.9914168,643.74
2001,Great Britain,16,0,12,0.670166667,24737.5
2001,Greece,14,0,3,0.986405467,1019.59
2001,India,234,0,0,0.9039196,7206.03
2001,Indonesia,105,134,0,0.9028072,7289.46
2001,Iraq,3,9,30,0.99317,512.25
2001,Ireland,2,0,2,0.97101,2174.25
2001,Israel,79,0,0,0.956206133,3284.54
2001,Kenya,7,13,0,0.998481067,113.92
2001,Lebanon,5,0,3,0.995425467,343.09
2001,Libya,0,0,0,0.9986412,101.91
2001,Mali,0,0,0,0.999408,44.4
2001,Mozambique,0,0,0,0.9994476,41.43
2001,Myanmar,3,8,0,0.9896368,777.24
2001,Nepal,33,0,0,0.9969708,227.19
2001,Nigeria,5,3,3,0.988658,850.65
2001,Pakistan,53,109,0,0.978615733,1603.82
2001,Philippines,50,154,0,0.922137467,5839.69
2001,Russia,135,0,0,0.870526533,9710.51
2001,Somalia,5,0,0,0.9999708,2.19
2001,Sudan,9,0,0,0.984067733,1194.92
2001,Syria,0,0,0,0.9963216,275.88
2001,Thailand,15,11,61,0.832359333,12573.05
2001,Tunisia,1,3,0,0.998012133,149.09
2001,Turkey,19,17,0,0.981204267,1409.68
2001,Yemen,7,2,0,0.992642,551.85
2002,China,2,1,18,0,0
2002,Afghanistan,38,74,0,0.999659333,25.55
2002,Algeria,132,0,0,0.994114133,441.44
2002,Bahrain,0,0,0,0.997641067,176.92
2002,Bangladesh,5,21,0,0.9804468,1466.49
2002,Central African Republic,0,0,0,0.9999324,5.07
2002,Colombia,150,0,0,0.991695467,622.84
2002,Egypt,0,0,0,0.983931733,1205.12
2002,Great Britain,3,0,0,0.6477916,26415.63
2002,Greece,11,0,2,0.984551333,1158.65
2002,India,183,595,0,0.888639467,8352.04
2002,Indonesia,43,246,0,0.8876648,8425.14
2002,Iraq,6,0,0,0.992522133,560.84
2002,Ireland,0,0,0,0.970974933,2176.88
2002,Israel,75,327,0,0.948304667,3877.15
2002,Kenya,2,16,0,0.998665733,100.07
2002,Lebanon,8,2,4,0.994967733,377.42
2002,Libya,0,0,0,0.998315733,126.32
2002,Mali,0,0,0,0.9994352,42.36
2002,Mozambique,0,0,0,0.999421867,43.36
2002,Myanmar,4,5,33,0.986306933,1026.98
2002,Nepal,58,486,0,0.997838933,162.08
2002,Nigeria,6,28,11,0.986909333,981.8
2002,Pakistan,45,103,324,0.975818933,1813.58
2002,Philippines,48,0,0,0.887822133,8413.34
2002,Russia,89,0,0,0.853579867,10981.51
2002,Somalia,3,6,6,0.9999508,3.69
2002,Sudan,13,589,0,0.978700533,1597.46
2002,Syria,0,0,0,0.994224933,433.13
2002,Thailand,12,16,45,0.797760133,15167.99
2002,Tunisia,2,31,50,0.997438,192.15
2002,Turkey,5,0,0,0.974297067,1927.72
2002,Yemen,7,0,0,0.991971733,602.12
2003,China,3,1,16,0,0
2003,Afghanistan,100,0,0,0.9995792,31.56
2003,Algeria,75,269,0,0.989011067,824.17
2003,Bahrain,1,0,0,0.99732,201
2003,Bangladesh,4,3,13,0.978002133,1649.84
2003,Central African Republic,0,0,0,0.999932667,5.05
2003,Colombia,98,0,0,0.989314667,801.4
2003,Egypt,0,0,0,0.981833867,1362.46
2003,Great Britain,0,0,0,0.586188267,31035.88
2003,Greece,12,0,2,0.9786148,1603.89
2003,India,196,472,0,0.8338884,12458.37
2003,Indonesia,18,26,0,0.865010267,10124.23
2003,Iraq,87,0,0,0.999172533,62.06
2003,Ireland,1,0,0,0.9549764,3376.77
2003,Israel,37,154,0,0.945526,4085.55
2003,Kenya,2,3,0,0.998154933,138.38
2003,Lebanon,5,3,0,0.993843867,461.71
2003,Libya,0,0,0,0.996716667,246.25
2003,Mali,0,0,0,0.9989552,78.36
2003,Mozambique,0,0,0,0.998951733,78.62
2003,Myanmar,9,18,0,0.983430267,1242.73
2003,Nepal,15,0,0,0.997783067,166.27
2003,Nigeria,9,28,0,0.982758267,1293.13
2003,Pakistan,29,119,0,0.969665733,2275.07
2003,Philippines,107,0,0,0.829274533,12804.41
2003,Russia,76,0,0,0.822251333,13331.15
2003,Somalia,1,7,0,0.999848933,11.33
2003,Sudan,0,0,0,0.975578533,1831.61
2003,Syria,0,0,0,0.9922668,579.99
2003,Thailand,6,6,6,0.728904667,20332.15
2003,Tunisia,0,0,0,0.9970892,218.31
2003,Turkey,19,67,778,0.955182267,3361.33
2003,Yemen,7,16,9,0.974060933,1945.43
2004,China,2,4,5,0,0
2004,Afghanistan,88,0,0,0.9991044,67.17
2004,Algeria,67,166,0,0.982212267,1334.08
2004,Bahrain,0,0,0,0.996062267,295.33
2004,Bangladesh,11,0,0,0.971783733,2116.22
2004,Central African Republic,0,0,0,0.999867867,9.91
2004,Colombia,37,0,0,0.982788,1290.9
2004,Egypt,2,38,171,0.974540133,1909.49
2004,Great Britain,1,0,2,0.466772667,39992.05
2004,Greece,4,0,3,0.973342133,1999.34
2004,India,108,0,0,0.7471308,18965.19
2004,Indonesia,17,42,238,0.8267408,12994.44
2004,Iraq,319,0,0,0.9934504,491.22
2004,Ireland,0,0,0,0.9432188,4258.59
2004,Israel,18,59,0,0.927323867,5450.71
2004,Kenya,0,0,0,0.9972444,206.67
2004,Lebanon,2,1,2,0.9919956,600.33
2004,Libya,0,0,0,0.990979467,676.54
