year,country,attack,nkill,nwound,distance,investment,Country_EN
2008,中国,20,20,20,0,0,China
2008,阿尔及利亚,107,249,328,0.9796472,50882,Algeria
2008,澳大利亚,3,0,0,0.8657884,335529,Australia
2008,俄罗斯,170,95,0,0.9264688,183828,Russia
2008,法国,8,0,1,0.9933148,16713,France
2008,加拿大,5,0,9,0.9492628,126843,Canada
2008,马达加斯加,0,0,0,0.9941392,14652,Madagascar
2008,美国,19,2,14,0.904404,238990,United States
2008,墨西哥,8,21,0,0.9930768,17308,Mexico
2008,南非,1,0,0,0.8780552,304862,South Africa
2008,尼日利亚,76,0,0,0.9681636,79591,Nigeria
2008,日本,3,0,0,0.9796124,50969,Japan
2008,苏丹,32,205,0,0.97887,52825,Sudan
2008,泰国,200,0,0,0.9825136,43716,Thailand
2008,新西兰,5,0,0,0.997214,6965,New Zealand
2008,印度尼西亚,13,0,0,0.9782668,54333,Indonesia
2008,英国,10,0,0,0.9664936,83766,Great Britain
2009,中国,7,6,5,0,0,China
2009,阿尔及利亚,108,204,0,0.9699496,75126,Algeria
2009,澳大利亚,2,3,50,0.765476,586310,Australia
2009,俄罗斯,152,141,218,0.9111852,222037,Russia
2009,法国,4,0,11,0.9911588,22103,France
2009,加拿大,4,0,0,0.9331864,167034,Canada
2009,马达加斯加,1,2,0,0.9921512,19622,Madagascar
2009,美国,11,18,0,0.8664632,333842,United States
2009,墨西哥,1,2,3,0.993044,17390,Mexico
2009,南非,0,0,0,0.9077256,230686,South Africa
2009,尼日利亚,42,0,0,0.9589616,102596,Nigeria
2009,日本,1,0,0,0.9722856,69286,Japan
2009,苏丹,26,77,0,0.9774444,56389,Sudan
2009,泰国,298,270,0,0.9820848,44788,Thailand
2009,新西兰,0,0,0,0.996246,9385,New Zealand
2009,印度尼西亚,19,15,62,0.9680376,79906,Indonesia
2009,英国,2,0,0,0.9588688,102828,Great Britain
2010,中国,1,1,1,0,0,China
2010,阿尔及利亚,100,109,0,0.9625096,93726,Algeria
2010,澳大利亚,1,0,0,0.68529,786775,Australia
2010,俄罗斯,251,231,609,0.8884976,278756,Russia
2010,法国,1,0,0,0.9902552,24362,France
2010,加拿大,2,0,0,0.895896,260260,Canada
2010,马达加斯加,0,0,0,0.9908052,22987,Madagascar
2010,美国,17,4,17,0.8050404,487399,United States
2010,墨西哥,5,0,0,0.9938852,15287,Mexico
2010,南非,0,0,0,0.8338808,415298,South Africa
2010,尼日利亚,63,117,191,0.951566,121085,Nigeria
2010,日本,0,0,0,0.9557748,110563,Japan
2010,苏丹,28,0,0,0.9754656,61336,Sudan
2010,泰国,253,154,313,0.9568,108000,Thailand
2010,新西兰,0,0,0,0.9936356,15911,New Zealand
2010,印度尼西亚,4,0,6,0.9539824,115044,Indonesia
2010,英国,2,0,1,0.945666,135835,Great Britain
2011,中国,4,4,2,0,0,China
2011,阿尔及利亚,15,0,0,0.957622,105945,Algeria
