"Year","Country","Events","Kills","Wounds","WoundsLog"
1970,"Argentina",21,NA,NA,NA
1970,"Australia",1,0,0,0
1970,"Belgium",1,0,0,0
1970,"Bolivia",1,0,0,0
1970,"Brazil",6,2,1,0.693147180559945
1970,"Canada",2,1,0,0
1970,"Colombia",1,NA,NA,NA
1970,"Dominican Republic",2,1,0,0
1970,"East Germany (GDR)",12,NA,NA,NA
1970,"Egypt",1,0,2,1.09861228866811
1970,"Ethiopia",3,1,0,0
1970,"Great Britain",2,0,0,0
1970,"Greece",3,NA,NA,NA
1970,"Guatemala",4,NA,NA,NA
1970,"Iran",5,NA,NA,NA
1970,"Ireland",1,1,NA,NA
1970,"Israel",1,1,0,0
1970,"Italy",3,0,0,0
1970,"Japan",2,NA,NA,NA
1970,"Jordan",9,NA,NA,NA
1970,"Lebanon",1,0,0,0
1970,"Mexico",2,0,0,0
1970,"Netherlands",2,NA,NA,NA
1970,"Nicaragua",1,0,0,0
1970,"Northern Ireland",10,20,NA,NA
1970,"Pakistan",1,1,0,0
1970,"Paraguay",1,1,1,0.693147180559945
1970,"Philippines",10,41,13,2.63905732961526
1970,"Puerto Rico",18,2,1,0.693147180559945
1970,"Spain",4,NA,NA,NA
1970,"Switzerland",3,NA,NA,NA
1970,"Turkey",12,NA,NA,NA
1970,"United States",450,NA,NA,NA
1970,"Uruguay",33,NA,NA,NA
1970,"Venezuela",2,0,0,0
1970,"West Germany (FRG)",20,NA,NA,NA
1971,"Argentina",7,NA,NA,NA
1971,"Australia",1,0,0,0
1971,"Bolivia",2,NA,NA,NA
1971,"Brazil",3,0,0,0
1971,"Cambodia",2,2,10,2.39789527279837
1971,"Costa Rica",1,NA,NA,NA
1971,"Dominican Republic",3,0,0,0
1971,"East Germany (GDR)",4,NA,NA,NA
1971,"Egypt",1,1,0,0
1971,"Ethiopia",1,0,0,0
1971,"Great Britain",2,0,1,0.693147180559945
1971,"Greece",1,0,0,0
1971,"Guatemala",1,NA,NA,NA
1971,"Iran",11,NA,NA,NA
1971,"Ireland",1,1,NA,NA
1971,"Israel",1,1,11,2.484906649788
1971,"Italy",3,NA,NA,NA
1971,"Jordan",5,NA,NA,NA
1971,"Lebanon",1,NA,NA,NA
1971,"Netherlands",1,0,0,0
1971,"Northern Ireland",79,110,NA,NA
1971,"Philippines",4,NA,NA,NA
1971,"Puerto Rico",10,3,0,0
1971,"South Yemen",1,0,0,0
1971,"Spain",22,NA,NA,NA
1971,"Sweden",2,1,2,1.09861228866811
1971,"Switzerland",1,0,3,1.38629436111989
1971,"Taiwan",1,25,NA,NA
1971,"Turkey",35,NA,NA,NA
1971,"United States",237,NA,NA,NA
1971,"Uruguay",8,NA,NA,NA
1971,"Venezuela",4,0,0,0
1971,"West Germany (FRG)",13,NA,NA,NA
1971,"Zambia",1,1,0,0
1972,"Algeria",1,0,0,0
1972,"Argentina",15,NA,NA,NA
1972,"Australia",2,1,0,0
1972,"Austria",2,NA,NA,NA
1972,"Belgium",1,0,1,0.693147180559945
1972,"Brazil",1,0,1,0.693147180559945
1972,"Cambodia",1,1,0,0
1972,"Canada",4,NA,NA,NA
1972,"Colombia",2,1,0,0
1972,"Czechoslovakia",1,26,0,0
1972,"Egypt",1,0,0,0
1972,"El Salvador",2,0,0,0
1972,"France",9,1,0,0
1972,"Great Britain",4,15,NA,NA
1972,"Greece",2,0,0,0
1972,"India",1,0,0,0
1972,"Iran",15,NA,NA,NA
1972,"Ireland",5,6,NA,NA
1972,"Israel",1,26,72,4.29045944114839
1972,"Italy",4,1,4,1.6094379124341
1972,"Jordan",3,2,0,0
1972,"Kuwait",1,0,0,0
1972,"Lebanon",3,0,0,0
1972,"Mexico",1,0,0,0
1972,"Netherlands",1,0,0,0
1972,"Northern Ireland",279,353,NA,NA
1972,"Panama",1,0,0,0
1972,"Philippines",7,NA,NA,NA
1972,"Puerto Rico",4,0,0,0
1972,"South Vietnam",1,81,0,0
1972,"Spain",19,NA,NA,NA
1972,"Sweden",3,NA,NA,NA
1972,"Thailand",1,0,0,0
1972,"Turkey",9,NA,NA,NA
1972,"United States",60,10,35,3.58351893845611
1972,"Uruguay",1,0,0,0
